gene,mutated_samples,dcb_mutated,dcb_wildtype,no_dcb_mutated,no_dcb_wildtype,dcb_mutation_fraction,no_dcb_mutation_fraction,odds_ratio_dcb,p_value,flag_gene,biology_panel,frequency_tier,q_value
TSGA10,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
TUBGCP5,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
ZFYVE9,5,4,25,1,75,0.13793103448275862,0.013157894736842105,12.0,0.01992355146422695,False,,primary_screen,0.8124185882767119
ABCC8,10,6,23,4,72,0.20689655172413793,0.05263157894736842,4.695652173913044,0.02538005278959325,False,,primary_screen,0.8124185882767119
FLNC,10,6,23,4,72,0.20689655172413793,0.05263157894736842,4.695652173913044,0.02538005278959325,False,,primary_screen,0.8124185882767119
MED13,10,6,23,4,72,0.20689655172413793,0.05263157894736842,4.695652173913044,0.02538005278959325,False,,primary_screen,0.8124185882767119
PASK,10,6,23,4,72,0.20689655172413793,0.05263157894736842,4.695652173913044,0.02538005278959325,False,,primary_screen,0.8124185882767119
PRB3,10,6,23,4,72,0.20689655172413793,0.05263157894736842,4.695652173913044,0.02538005278959325,False,,primary_screen,0.8124185882767119
GRM3,21,10,19,11,65,0.3448275862068966,0.14473684210526316,3.110047846889952,0.02992557039395972,False,,primary_screen,0.8124185882767119
EPB42,8,5,24,3,73,0.1724137931034483,0.039473684210526314,5.069444444444445,0.03523863033280565,False,,primary_screen,0.8124185882767119
GCNT3,8,5,24,3,73,0.1724137931034483,0.039473684210526314,5.069444444444445,0.03523863033280565,False,,primary_screen,0.8124185882767119
OPLAH,8,5,24,3,73,0.1724137931034483,0.039473684210526314,5.069444444444445,0.03523863033280565,False,,primary_screen,0.8124185882767119
PIK3C2A,8,5,24,3,73,0.1724137931034483,0.039473684210526314,5.069444444444445,0.03523863033280565,False,,primary_screen,0.8124185882767119
PLCZ1,8,5,24,3,73,0.1724137931034483,0.039473684210526314,5.069444444444445,0.03523863033280565,False,,primary_screen,0.8124185882767119
POGZ,8,5,24,3,73,0.1724137931034483,0.039473684210526314,5.069444444444445,0.03523863033280565,False,,primary_screen,0.8124185882767119
TECTA,8,5,24,3,73,0.1724137931034483,0.039473684210526314,5.069444444444445,0.03523863033280565,False,,primary_screen,0.8124185882767119
ZMYM4,8,5,24,3,73,0.1724137931034483,0.039473684210526314,5.069444444444445,0.03523863033280565,False,,primary_screen,0.8124185882767119
COL4A4,16,8,21,8,68,0.27586206896551724,0.10526315789473684,3.238095238095238,0.03792705746953222,False,,primary_screen,0.8124185882767119
NRXN1,16,8,21,8,68,0.27586206896551724,0.10526315789473684,3.238095238095238,0.03792705746953222,False,,primary_screen,0.8124185882767119
EPHA7,18,9,20,9,67,0.3103448275862069,0.11842105263157894,3.35,0.039016627138056884,False,,primary_screen,0.8124185882767119
CDH9,13,7,22,6,70,0.2413793103448276,0.07894736842105263,3.712121212121212,0.042086194435458586,False,,primary_screen,0.8124185882767119
MYO5B,13,7,22,6,70,0.2413793103448276,0.07894736842105263,3.712121212121212,0.042086194435458586,False,,primary_screen,0.8124185882767119
PLIN4,13,7,22,6,70,0.2413793103448276,0.07894736842105263,3.712121212121212,0.042086194435458586,False,,primary_screen,0.8124185882767119
PCNX2,19,9,20,10,66,0.3103448275862069,0.13157894736842105,2.97,0.04690539516860247,False,,primary_screen,0.8124185882767119
AGO3,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
ATP2C2,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
BTN1A1,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
CATSPERE,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
CBLB,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
CCSER1,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
CD1E,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
CFHR3,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
CORIN,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
CPVL,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
DGKB,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
DYNC2H1,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
FLNA,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
FMO1,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
FRMPD1,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
GALNT16,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
IFT56,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
LRP5,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
LRRTM3,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
NINL,6,4,25,2,74,0.13793103448275862,0.02631578947368421,5.92,0.047964105376842654,False,,primary_screen,0.8124185882767119
