gene,mutated_samples,dcb_mutated,dcb_wildtype,no_dcb_mutated,no_dcb_wildtype,dcb_mutation_fraction,no_dcb_mutation_fraction,odds_ratio_dcb,p_value,flag_gene,biology_panel,frequency_tier,q_value
SCN1A,12,7,22,5,71,0.2413793103448276,0.06578947368421052,4.5181818181818185,0.017987775608255024,False,,primary_screen,0.8124185882767119
SLITRK3,12,7,22,5,71,0.2413793103448276,0.06578947368421052,4.5181818181818185,0.017987775608255024,False,,primary_screen,0.8124185882767119
COL4A5,23,11,18,12,64,0.3793103448275862,0.15789473684210525,3.259259259259259,0.01904337284387546,False,,primary_screen,0.8124185882767119
FAM83B,23,11,18,12,64,0.3793103448275862,0.15789473684210525,3.259259259259259,0.01904337284387546,False,,primary_screen,0.8124185882767119
THSD7B,23,11,18,12,64,0.3793103448275862,0.15789473684210525,3.259259259259259,0.01904337284387546,False,,primary_screen,0.8124185882767119
ALKBH2,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
ANKRD55,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
ATP9B,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
ATXN2,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
BAIAP2L1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
BAZ1B,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
BLTP3B,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
BUB1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
CAT,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
CCT8,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
CD44,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
CHAMP1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
CLCN5,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
COBLL1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
DHX8,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
DISP1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
DLL1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
DMBX1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
ECM2,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
ENC1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
ENO3,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
ERBIN,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
FGFR1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
GMIP,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
GPER1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
GUCY2D,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
HAUS1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
HDAC2,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
HMSD,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
HSPA4L,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
IFT57,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
IL12A,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
INHBA,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
INPPL1,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
ITGA3,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
KBTBD12,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
KLC2,3,3,26,0,76,0.10344827586206896,0.0,inf,0.019492158327109783,False,,low_frequency,0.8124185882767119
